,Unnamed: 0,Year,OSHPD_ID,FacilityName,County,TypeofOwnership,HospitalType,Teaching,LicensedBeds,AvailableBeds,StaffedBeds,PretaxNetIncome,OtherOperatingRev,TotalOperatingRev,TotalMargin,OperatingMargin,Location,SmallORRural
427,427,2011,106364014,LOMA LINDA UNIVERSITY BEHAVIORAL MEDICINE CENTER,San Bernardino,Non-Profit,Comparable,0,89,89,89,26739771,1887902.0,28627673.0,6.6%,7.1%,"REDLANDS, California
(34.055562, -117.182603)",0
428,428,2010,106450936,MAYERS MEMORIAL HOSPITAL,SHASTA,District,Comparable,0,121,121,121,15477981,133712.0,15611693.0,0.9%,0.9%,"FALL RIVER MILLS, California
(41.003555, -121.439959)",1
429,429,2011,106340947,MERCY GENERAL HOSPITAL,Sacramento,Non-Profit,Comparable,0,342,329,329,478423000,13079000.0,491502000.0,2.7%,2.7%,"SACRAMENTO, California
(38.582087, -121.50012)",0
430,430,2010,106361768,PATTON STATE HOSPITAL,SAN BERNARDINO,State,State Hospitals,0,1287,1400,1513,156777937,0.0,156777937.0,0%,0%,"PATTON, California
(34.135799, -117.223099)",0
431,431,2012,106040875,FEATHER RIVER HOSPITAL,Butte,Non-Profit,Comparable,0,100,100,100,154380023,1253103.0,155633126.0,0.8%,0.8%,"PARADISE, California
(39.752081, -121.621973)",0
432,432,2011,106394003,SAN JOAQUIN COUNTY MENTAL HEALTH - PHF,San Joaquin,City/County,Psychiatric Health Facilities,0,16,16,16,6411216,0.0,6411216.0,0%,0%,"STOCKTON, California
(37.957541, -121.292451)",0
433,433,2011,106100797,SIERRA KINGS DISTRICT HOSPITAL,Fresno,District,Comparable,0,49,49,24,21270174,5281785.0,26551959.0,19.9%,24.8%,"REEDLEY, California
(36.597911, -119.456221)",1
434,434,2011,106194010,AMERICAN RECOVERY CENTER,Los Angeles,Non-Profit,Comparable,0,156,156,156,4972584,27092.0,4999676.0,0.5%,0.5%,"POMONA, California
(34.055118, -117.750048)",0
435,435,2011,106190587,PACIFIC HOSPITAL OF LONG BEACH,Los Angeles,Investor,Comparable,0,184,160,160,149326328,2999404.0,152325732.0,2%,2%,"LONG BEACH, California
(33.767168, -118.193723)",0
436,436,2010,106190687,SANTA MONICA-UCLA MEDICAL CENTER-ORTHOPAEDIC,LOS ANGELES,Non-Profit,Comparable,0,315,299,299,327866352,6077958.0,333944310.0,1.8%,1.9%,"SANTA MONICA, California
(34.010932, -118.491512)",0
437,437,2012,106331164,DESERT REGIONAL MEDICAL CENTER,Riverside,Investor,Comparable,0,387,351,217,392308741,1513261.0,393822002.0,0.4%,0.4%,"PALM SPRINGS, California
(33.830302, -116.546843)",0
438,438,2010,106301304,NEWPORT BAY HOSPITAL,ORANGE,Investor,Comparable,0,34,34,34,9712403,0.0,9712403.0,0%,0%,"NEWPORT BEACH, California
(33.615967, -117.930378)",0
439,439,2010,106270744,COMMUNITY HOSPITAL OF MONTEREY PENINSULA,MONTEREY,Non-Profit,Comparable,0,259,205,205,379131814,31881249.0,411013063.0,7.8%,8.4%,"MONTEREY, California
(36.596808, -121.897127)",0
440,440,2011,106240942,MERCY MEDICAL CENTER - MERCED,Merced,Non-Profit,Comparable,0,186,186,135,227044624,1340895.0,228385519.0,0.6%,0.6%,"MERCED, California
(37.306968, -120.481971)",0
441,441,2012,106450949,MERCY MEDICAL CENTER - REDDING,Shasta,Non-Profit,Comparable,0,267,267,267,371031738,6238173.0,377269911.0,1.7%,1.7%,"REDDING, California
(40.574637, -122.38109)",0
442,442,2010,106034002,SUTTER AMADOR HOSPITAL,AMADOR,Non-Profit,Comparable,0,42,42,42,60309252,291591.0,60600843.0,0.5%,0.5%,"JACKSON, California
(38.347604, -120.772295)",1
443,443,2012,106301097,ANAHEIM GENERAL HOSPITAL,Orange,Investor,Comparable,0,143,126,126,29948774,1111071.0,31059845.0,3.6%,3.7%,"ANAHEIM, California
(33.834492, -117.915638)",0
444,444,2012,106370759,PARADISE VALLEY HOSPITAL,San Diego,Non-Profit,Comparable,0,291,291,291,125383863,1366215.0,126750078.0,1.1%,1.1%,"NATIONAL CITY, California
(32.671538, -117.105196)",0
445,445,2010,106040937,OROVILLE HOSPITAL,BUTTE,Non-Profit,Comparable,0,153,153,133,150972358,3056783.0,154029141.0,2%,2%,"OROVILLE, California
(39.512339, -121.554608)",0
446,446,2010,106190232,DEL AMO HOSPITAL,LOS ANGELES,Investor,Comparable,0,166,166,138,30692023,48005.0,30740028.0,0.2%,0.2%,"TORRANCE, California
(33.836318, -118.340038)",0
447,447,2012,106331288,PALO VERDE HOSPITAL,Riverside,District,Comparable,0,51,35,35,23711328,110225.0,23821553.0,0.5%,0.5%,"BLYTHE, California
(33.610437, -114.596827)",1
448,448,2010,106301781,FAIRVIEW DEVELOPMENTAL CENTER,ORANGE,State,State Hospitals,0,1218,1005,459,115276115,0.0,115276115.0,0%,0%,"COSTA MESA, California
(33.663857, -117.904765)",0
449,449,2010,106301205,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ORANGE,Non-Profit,Comparable,0,563,461,461,744638854,27815136.0,772453990.0,3.6%,3.7%,"NEWPORT BEACH, California
(33.615967, -117.930378)",0
450,450,2010,106361246,LOMA LINDA UNIVERSITY MEDICAL CENTER,SAN BERNARDINO,Non-Profit,Comparable,1,861,797,600,1083592089,37600070.0,1121192159.0,3.4%,3.5%,"LOMA LINDA, California
(34.048261, -117.261123)",0
451,451,2010,106361370,VICTOR VALLEY COMMUNITY HOSPITAL,SAN BERNARDINO,Non-Profit,Comparable,0,99,99,99,53751898,7103530.0,60855428.0,11.7%,13.2%,"VICTORVILLE, California
(34.5121, -117.323632)",1
452,452,2012,106100797,ADVENTIST MEDICAL CENTER - REEDLEY,Fresno,District,Comparable,0,49,49,12,29394397,475845.0,29870242.0,1.6%,1.6%,"REEDLEY, California
(36.597911, -119.456221)",1
453,453,2011,106231013,MENDOCINO COAST DISTRICT HOSPITAL,Mendocino,District,Comparable,0,25,25,17,43548104,558500.0,44106604.0,1.3%,1.3%,"FORT BRAGG, California
(39.445486, -123.804543)",1
454,454,2010,106190125,CALIFORNIA HOSPITAL MEDICAL CENTER,LOS ANGELES,Non-Profit,Comparable,0,316,240,225,287106453,16641512.0,303747965.0,5.5%,5.8%,"LOS ANGELES, California
(34.052238, -118.243344)",0
455,455,2012,106100899,ST. AGNES MEDICAL CENTER,Fresno,Non-Profit,Comparable,0,436,436,436,398558302,9522679.0,408080981.0,2.3%,2.4%,"FRESNO, California
(36.731654, -119.785856)",0
456,456,2011,106380929,CALIFORNIA PACIFIC MEDICAL CENTER,San Francisco,Non-Profit,Comparable,1,970,765,765,1132305883,43697776.0,1176003659.0,3.7%,3.9%,"SAN FRANCISCO, California
(37.78008, -122.420168)",0
457,457,2011,106171049,ST. HELENA HOSPITAL - CLEARLAKE,Lake,Non-Profit,Comparable,0,25,25,25,60815320,169384.0,60984704.0,0.3%,0.3%,"CLEARLAKE, California
(38.961814, -122.631261)",1
458,458,2010,106105051,COALINGA STATE HOSPITAL,FRESNO,State,State Hospitals,0,1500,1028,911,181532956,0.0,181532956.0,0%,0%,"COALINGA, California
(36.139801, -120.360264)",0
459,459,2011,106121051,REDWOOD MEMORIAL HOSPITAL,Humboldt,Non-Profit,Comparable,0,35,25,25,40803591,218224.0,41021815.0,0.5%,0.5%,"FORTUNA, California
(40.58858, -124.146858)",1
460,460,2010,106190782,TARZANA TREATMENT CENTER,LOS ANGELES,Non-Profit,Comparable,0,60,60,60,7067960,0.0,7067960.0,0%,0%,"TARZANA, California
(34.173302, -118.553101)",0
461,461,2012,106190500,MARINA DEL REY HOSPITAL,Los Angeles,Non-Profit,Comparable,0,90,90,43,91915367,1510893.0,93426260.0,1.6%,1.6%,"MARINA DEL REY, California
(33.98384, -118.451422)",0
462,462,2012,106361266,MOUNTAINS COMMUNITY HOSPITAL,San Bernardino,District,Comparable,0,37,37,25,12730434,1089520.0,13819954.0,7.9%,8.6%,"LAKE ARROWHEAD, California
(34.251974, -117.181983)",1
463,463,2010,106430883,SANTA CLARA VALLEY MEDICAL CENTER,SANTA CLARA,City/County,Comparable,1,574,554,554,720997252,24736608.0,745733860.0,3.3%,3.4%,"SAN JOSE, California
(37.334807, -121.888128)",0
464,464,2010,106190756,ST. JOHNS HOSPITAL AND HEALTH CENTER,LOS ANGELES,Non-Profit,Comparable,0,265,232,232,256849361,20740065.0,277589426.0,7.5%,8.1%,"SANTA MONICA, California
(34.010932, -118.491512)",0
465,465,2011,106380842,JEWISH HOME,San Francisco,Non-Profit,LTC Emphasis,0,491,430,430,60246047,741929.0,60987976.0,1.2%,1.2%,"SAN FRANCISCO, California
(37.78008, -122.420168)",0
466,466,2010,106521041,ST. ELIZABETH COMMUNITY HOSPITAL,TEHAMA,Non-Profit,Comparable,0,76,66,66,82310372,586973.0,82897345.0,0.7%,0.7%,"RED BLUFF, California
(40.176607, -122.234146)",1
467,467,2011,106190534,OLYMPIA MEDICAL CENTER,Los Angeles,Investor,Comparable,0,204,135,135,116468261,750129.0,117218390.0,0.6%,0.6%,"LOS ANGELES, California
(34.052238, -118.243344)",0
468,468,2011,106190382,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,Los Angeles,Investor,Comparable,0,434,413,250,225317422,5750192.0,231067614.0,2.5%,2.6%,"LOS ANGELES, California
(34.052238, -118.243344)",0
469,469,2011,106434051,CHILDRENS RECOVERY CENTER OF NO CALIFORNIA,Santa Clara,Investor,Comparable,0,29,27,26,7874271,0.0,7874271.0,0%,0%,"CAMPBELL, California
(37.28766, -121.942432)",0
470,470,2011,106301357,NEWPORT SPECIALTY HOSPITAL,Orange,Investor,Comparable,0,177,109,57,28253569,288286.0,28541855.0,1%,1%,"TUSTIN, California
(33.742072, -117.818805)",0
471,471,2011,106301209,HUNTINGTON BEACH HOSPITAL,Orange,Investor,Comparable,0,131,131,131,50832676,364427.0,51197103.0,0.7%,0.7%,"HUNTINGTON BEACH, California
(33.659775, -117.999313)",0
472,472,2011,106364231,ARROWHEAD REGIONAL MEDICAL CENTER,San Bernardino,City/County,Comparable,1,456,436,368,413070023,79361208.0,492431231.0,16.1%,-19.2%,"COLTON, California
(34.070139, -117.323641)",0
473,473,2011,106521041,ST. ELIZABETH COMMUNITY HOSPITAL,Tehama,Non-Profit,Comparable,0,76,76,66,82705078,657767.0,83362845.0,0.8%,0.8%,"RED BLUFF, California
(40.176607, -122.234146)",1
474,474,2011,106191225,TOM REDGATE MEMORIAL RECOVERY CENTER,Los Angeles,Non-Profit,Comparable,0,63,63,63,2647592,122330.0,2769922.0,4.4%,4.6%,"LONG BEACH, California
(33.767168, -118.193723)",0
475,475,2010,106341051,SUTTER MEDICAL CENTER OF SACRAMENTO,SACRAMENTO,Non-Profit,Comparable,0,754,620,620,788733996,17508394.0,806242390.0,2.2%,2.2%,"SACRAMENTO, California
(38.582087, -121.50012)",0
476,476,2010,106301258,COASTAL COMMUNITIES HOSPITAL,ORANGE,Investor,Comparable,0,178,178,178,66902103,150248.0,67052351.0,0.2%,0.2%,"SANTA ANA, California
(33.749738, -117.869781)",0
477,477,2010,106100005,CLOVIS COMMUNITY MEDICAL CENTER,FRESNO,Non-Profit,Comparable,0,109,109,109,154349754,1576576.0,155926330.0,1%,1%,"CLOVIS, California
(36.823982, -119.696376)",0
478,478,2012,106190305,KINDRED HOSPITAL - LOS ANGELES,Los Angeles,Investor,Comparable,0,81,81,81,49626262,409337.0,50035599.0,0.8%,0.8%,"LOS ANGELES, California
(34.052238, -118.243344)",0
479,479,2011,106540734,KAWEAH DELTA MEDICAL CENTER,Tulare,District,Comparable,0,581,576,406,413485879,26371344.0,439857223.0,6%,6.4%,"VISALIA, California
(36.33012, -119.29888)",0
480,480,2012,106100697,COALINGA REGIONAL MEDICAL CENTER,Fresno,District,Comparable,0,123,116,90,17539249,53518.0,17592767.0,0.3%,0.3%,"COALINGA, California
(36.139801, -120.360264)",1
481,481,2012,106190110,BROTMAN MEDICAL CENTER,Los Angeles,Investor,Comparable,0,406,239,239,126079559,2749753.0,128829312.0,2.1%,2.2%,"CULVER CITY, California
(34.0225, -118.394287)",0
482,482,2012,106370787,PROMISE HOSPITAL OF SAN DIEGO,San Diego,Investor,Comparable,0,100,100,67,36896620,125316.0,37021936.0,0.3%,0.3%,"SAN DIEGO, California
(32.71576, -117.163817)",0
483,483,2011,106420514,SANTA BARBARA COTTAGE HOSPITAL,Santa Barbara,Non-Profit,Comparable,1,408,345,345,460992953,11332301.0,472325254.0,2.4%,2.5%,"SANTA BARBARA, California
(34.420867, -119.698342)",0
484,484,2011,106190380,HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD,Los Angeles,Investor,Comparable,0,159,159,159,59539396,107102.0,59646498.0,0.2%,0.2%,"HOLLYWOOD, California
(34.098301, -118.325798)",0
485,485,2010,106190680,PROVIDENCE LITTLE CO OF MARY-SAN PEDRO,LOS ANGELES,Non-Profit,Comparable,0,556,356,267,174485441,3600029.0,178085470.0,2%,2.1%,"SAN PEDRO, California
(33.735802, -118.291397)",0
486,486,2011,106500939,MEMORIAL HOSPITAL - MODESTO,Stanislaus,Non-Profit,Comparable,0,423,397,263,527583658,8402418.0,535986076.0,1.6%,1.6%,"MODESTO, California
(37.640735, -121.002435)",0
487,487,2010,106560529,ST. JOHNS REGIONAL MEDICAL CENTER,VENTURA,Non-Profit,Comparable,0,265,265,161,231082882,811132.0,231894014.0,0.3%,0.4%,"OXNARD, California
(34.197663, -119.175947)",0
488,488,2011,106150775,GOOD SAMARITAN HOSPITAL - BAKERSFIELD,Kern,Investor,Comparable,0,154,154,120,30858433,99437.0,30957870.0,0.3%,0.3%,"BAKERSFIELD, California
(35.373405, -119.018911)",0
489,489,2012,106231013,MENDOCINO COAST DISTRICT HOSPITAL,Mendocino,District,Comparable,0,25,25,17,44021025,3043306.0,47064331.0,6.5%,6.9%,"FORT BRAGG, California
(39.445486, -123.804543)",1
490,490,2012,106190323,GLENDALE ADVENTIST MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,0,515,462,340,329783365,7711680.0,337495045.0,2.3%,2.3%,"GLENDALE, California
(34.148138, -118.246437)",0
491,491,2010,106304159,HEALTHBRIDGE CHILDRENS REHAB,ORANGE,Investor,Comparable,0,27,27,27,10731521,530566.0,11262087.0,4.7%,4.9%,"ORANGE, California
(33.791489, -117.853096)",0
492,492,2012,106164029,ADVENTIST MEDICAL CENTER - HANFORD,Kings,Non-Profit,Comparable,0,199,199,115,209036158,2042115.0,211078273.0,1%,1%,"HANFORD, California
(36.327726, -119.645914)",1
493,493,2010,106190352,GREATER EL MONTE COMMUNITY HOSPITAL,LOS ANGELES,Investor,Comparable,0,117,117,117,38924394,90192.0,39014586.0,0.2%,0.2%,"SOUTH EL MONTE, California
(34.043996, -118.046258)",0
494,494,2010,106334018,MENIFEE VALLEY MEDICAL CENTER,RIVERSIDE,District,Comparable,0,84,84,48,43850809,132073.0,43982882.0,0.3%,0.3%,"SUN CITY, California
(33.709202, -117.196404)",0
495,495,2010,106190517,PROVIDENCE TARZANA MEDICAL CENTER,LOS ANGELES,Investor,Comparable,0,245,245,134,191192849,2770488.0,193963337.0,1.4%,1.4%,"TARZANA, California
(34.173302, -118.553101)",0
496,496,2011,106010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,Alameda,Investor,Comparable,0,99,99,99,39968756,85983.0,40054739.0,0.2%,0.2%,"SAN LEANDRO, California
(37.728364, -122.158612)",0
497,497,2010,106014226,TELECARE-WILLOW ROCK CENTER,ALAMEDA,Investor,Psychiatric Health Facilities,0,16,16,16,3793344,0.0,3793344.0,0%,0%,"ALAMEDA, California
(37.765336, -122.241873)",0
498,498,2011,106361144,CHINO VALLEY MEDICAL CENTER,San Bernardino,Investor,Comparable,0,126,126,126,79336676,250809.0,79587485.0,0.3%,0.3%,"CHINO, California
(34.010971, -117.689239)",0
499,499,2011,106010967,ST. ROSE HOSPITAL,Alameda,Non-Profit,Comparable,0,217,181,181,115796765,405897.0,116202662.0,0.3%,0.4%,"HAYWARD, California
(37.672111, -122.083963)",0
500,500,2012,106190196,KINDRED HOSPITAL - SOUTH BAY,Los Angeles,Investor,Comparable,0,84,84,84,51977798,26320.0,52004118.0,0.1%,0.1%,"GARDENA, California
(33.883764, -118.309144)",0
501,501,2011,106240924,MEMORIAL HOSPITAL - LOS BANOS,Merced,Non-Profit,Comparable,0,46,46,13,49601912,649933.0,50251845.0,1.3%,1.3%,"LOS BANOS, California
(37.061242, -120.845795)",1
502,502,2011,106370714,SHARP GROSSMONT HOSPITAL,San Diego,Non-Profit,Comparable,0,536,521,312,518228508,3864683.0,522093191.0,0.7%,0.7%,"LA MESA, California
(32.766157, -117.024725)",0
503,503,2012,106141338,SOUTHERN INYO HOSPITAL,Inyo,District,Comparable,0,37,37,37,6322054,617614.0,6939668.0,8.9%,9.8%,"LONE PINE, California
(36.604908, -118.062968)",1
504,504,2012,106344170,CRESTWOOD PHF - CARMICHAEL,Sacramento,Investor,Psychiatric Health Facilities,0,16,16,16,3127331,123922.0,3251253.0,3.8%,4%,"CARMICHAEL, California
(38.636604, -121.327265)",0
505,505,2010,106190524,MISSION COMMUNITY HOSPITAL-PANORAMA,LOS ANGELES,Non-Profit,Comparable,0,145,120,115,67693120,1669484.0,69362604.0,2.4%,2.5%,"PANORAMA CITY, California
(34.224701, -118.448898)",0
506,506,2011,106190020,BHC ALHAMBRA HOSPITAL,Los Angeles,Investor,Comparable,0,97,97,80,25755921,21402.0,25777323.0,0.1%,0.1%,"ROSEMEAD, California
(34.080676, -118.077638)",0
507,507,2012,106190758,PROVIDENCE SAINT JOSEPH MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,0,414,307,257,420487954,19019215.0,439507169.0,4.3%,4.5%,"BURBANK, California
(34.182052, -118.307476)",0
508,508,2011,106400480,FRENCH HOSPITAL MEDICAL CENTER,San Luis Obispo,Non-Profit,Comparable,0,112,112,65,88908769,1024879.0,89933648.0,1.1%,1.2%,"SAN LUIS OBISPO, California
(35.282619, -120.660014)",0
509,509,2010,106150775,GOOD SAMARITAN HOSPITAL-BAKERSFIELD,KERN,Investor,Comparable,0,154,154,115,36499790,108397.0,36608187.0,0.3%,0.3%,"BAKERSFIELD, California
(35.373405, -119.018911)",0
510,510,2012,106414018,MENLO PARK SURGICAL HOSPITAL,San Mateo,Investor,Comparable,0,16,16,16,19074763,254453.0,19329216.0,1.3%,1.3%,"MENLO PARK, California
(37.453629, -122.18296)",0
511,511,2010,106540734,KAWEAH DELTA MEDICAL CENTER,TULARE,District,Comparable,0,581,576,442,407766657,26333274.0,434099931.0,6.1%,6.5%,"VISALIA, California
(36.33012, -119.29888)",0
512,512,2011,106334018,MENIFEE VALLEY MEDICAL CENTER,Riverside,District,Comparable,0,84,84,48,38718947,298978.0,39017925.0,0.8%,0.8%,"SUN CITY, California
(33.709202, -117.196404)",0
513,513,2010,106060870,COLUSA REGIONAL MEDICAL CENTER,COLUSA,Non-Profit,Comparable,0,48,48,36,20544695,636622.0,21181317.0,3%,3.1%,"COLUSA, California
(39.209238, -122.008373)",1
514,514,2011,106580996,RIDEOUT MEMORIAL HOSPITAL,Yuba,Non-Profit,Comparable,0,291,212,155,257046765,1305216.0,258351981.0,0.5%,0.5%,"MARYSVILLE, California
(39.141551, -121.587688)",0
515,515,2011,106196168,EARL & LORRAINE MILLER CHILDRENS HOSPITAL,Los Angeles,Non-Profit,Comparable,0,324,324,210,371848236,6456996.0,378305232.0,1.7%,1.7%,"LONG BEACH, California
(33.767168, -118.193723)",0
516,516,2010,106470871,MERCY HOSPITAL-MT. SHASTA,SISKIYOU,Non-Profit,Comparable,0,74,43,43,48880378,303002.0,49183380.0,0.6%,0.6%,"MT. SHASTA, California
(41.313274, -122.312285)",1
517,517,2010,106190176,CITY OF HOPE NATIONAL MEDICAL CENTER,LOS ANGELES,Non-Profit,Comparable,0,217,185,185,565230767,15799955.0,581030722.0,2.7%,2.8%,"DUARTE, California
(34.139586, -117.973256)",0
518,518,2011,106301379,WEST ANAHEIM MEDICAL CENTER,Orange,Investor,Comparable,0,219,219,219,86606201,752141.0,87358342.0,0.9%,0.9%,"ANAHEIM, California
(33.834492, -117.915638)",0
519,519,2010,106394003,SAN JOAQUIN COUNTY MENTAL HEALTH SERVICE,SAN JOAQUIN,City/County,Psychiatric Health Facilities,0,40,30,30,7747192,0.0,7747192.0,0%,0%,"STOCKTON, California
(37.957541, -121.292451)",0
520,520,2010,106420514,SANTA BARBARA COTTAGE HOSPITAL,SANTA BARBARA,Non-Profit,Comparable,0,408,345,345,455420813,14220175.0,469640988.0,3%,3.1%,"SANTA BARBARA, California
(34.420867, -119.698342)",0
521,521,2011,106190568,NORTHRIDGE HOSPITAL MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,0,411,411,249,340687338,8034092.0,348721430.0,2.3%,2.4%,"NORTHRIDGE, California
(34.228298, -118.535797)",0
522,522,2010,106100697,COALINGA REGIONAL MEDICAL CENTER,FRESNO,District,Comparable,0,123,116,116,22842177,75333.0,22917510.0,0.3%,0.3%,"COALINGA, California
(36.139801, -120.360264)",1
523,523,2011,106331288,PALO VERDE HOSPITAL,Riverside,District,Comparable,0,51,35,25,27215122,90482.0,27305604.0,0.3%,0.3%,"BLYTHE, California
(33.610437, -114.596827)",1
524,524,2012,106370705,FALLBROOK HOSPITAL DISTRICT,San Diego,District,Comparable,0,146,146,146,40116963,208923.0,40325886.0,0.5%,0.5%,"FALLBROOK, California
(33.38206, -117.251355)",1
525,525,2010,106190529,METHODIST HOSPITAL OF SOUTHERN CAL,LOS ANGELES,Non-Profit,Comparable,0,460,395,395,254515610,1583426.0,256099036.0,0.6%,0.6%,"ARCADIA, California
(34.136534, -118.040889)",0
526,526,2010,106301127,KINDRED HOSPITAL-BREA,ORANGE,Investor,Comparable,0,86,86,86,27429467,59751.0,27489218.0,0.2%,0.2%,"BREA, California
(33.917763, -117.898326)",0
527,527,2011,106154101,BAKERSFIELD HEART HOSPITAL,Kern,Investor,Comparable,0,47,47,47,67801734,570633.0,68372367.0,0.8%,0.8%,"BAKERSFIELD, California
(35.373405, -119.018911)",0
528,528,2011,106274043,NATIVIDAD MEDICAL CENTER,Monterey,City/County,Comparable,0,172,137,137,191868756,3965946.0,195834702.0,2%,-2.1%,"SALINAS, California
(36.676795, -121.656421)",0
529,529,2012,106210993,KENTFIELD REHAB HOSPITAL,Marin,Investor,Comparable,0,60,60,44,38371788,1268263.0,39640051.0,3.2%,3.3%,"KENTFIELD, California
(37.956815, -122.549121)",0
530,530,2010,106100745,KINGSBURG MEDICAL HOSPITAL,FRESNO,District,Comparable,0,30,20,20,522244,8096.0,530340.0,1.5%,1.6%,"KINGSBURG, California
(36.517885, -119.548698)",1
531,531,2010,106141273,NORTHERN INYO HOSPITAL,INYO,District,Comparable,0,25,25,25,56132440,1456212.0,57588652.0,2.5%,2.6%,"BISHOP, California
(37.361412, -118.39527)",1
532,532,2012,106540798,SIERRA VIEW DISTRICT HOSPITAL,Tulare,District,Comparable,0,167,167,167,128269230,907495.0,129176725.0,0.7%,0.7%,"PORTERVILLE, California
(36.073039, -119.016146)",0
533,533,2011,106190385,PROVIDENCE HOLY CROSS MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,0,377,377,274,324210691,2809508.0,327020199.0,0.9%,0.9%,"MISSION HILLS, California
(32.7528, -117.186096)",0
534,534,2010,106190298,FOOTHILL PRESBYTERIAN HOSPITAL,LOS ANGELES,Non-Profit,Comparable,0,105,105,80,69482542,492806.0,69975348.0,0.7%,0.7%,"GLENDORA, California
(34.136001, -117.865485)",0
535,535,2012,106364050,CANYON RIDGE HOSPITAL,San Bernardino,Investor,Comparable,0,106,106,106,22865081,31532.0,22896613.0,0.1%,0.1%,"CHINO, California
(34.010971, -117.689239)",0
536,536,2011,106410782,SAN MATEO MEDICAL CENTER,San Mateo,City/County,Comparable,0,509,416,345,133442161,71732352.0,205174513.0,35%,-53.8%,"SAN MATEO, California
(37.547166, -122.314351)",0
537,537,2010,106374094,VIBRA HOSPITAL OF SAN DIEGO,SAN DIEGO,Investor,Comparable,0,110,100,74,37878658,129482.0,38008140.0,0.3%,0.3%,"SAN DIEGO, California
(32.71576, -117.163817)",0
538,538,2010,106491076,SONOMA VALLEY HOSPITAL,SONOMA,District,Comparable,0,83,65,46,42709722,185130.0,42894852.0,0.4%,0.4%,"SONOMA, California
(38.291962, -122.458003)",0
539,539,2011,106380865,LAGUNA HONDA HOSPITAL & REHAB CENTER,San Francisco,City/County,LTC Emphasis,0,780,780,774,122521203,701808.0,123223011.0,0.6%,0.6%,"SAN FRANCISCO, California
(37.78008, -122.420168)",0
540,540,2010,106500967,OAK VALLEY DISTRICT HOSPITAL,STANISLAUS,District,Comparable,0,150,150,150,47353470,407766.0,47761236.0,0.9%,0.9%,"OAKDALE, California
(37.76861, -120.849475)",1
541,541,2011,106334487,RIVERSIDE COUNTY REGIONAL MEDICAL CENTER,Riverside,City/County,Comparable,1,439,415,415,340602212,19457587.0,360059799.0,5.4%,-5.7%,"MORENO VALLEY, California
(33.917114, -117.261144)",0
542,542,2012,106121051,REDWOOD MEMORIAL HOSPITAL,Humboldt,Non-Profit,Comparable,0,35,25,25,46291000,759000.0,47050000.0,1.6%,1.6%,"FORTUNA, California
(40.58858, -124.146858)",1
543,543,2010,106344011,SACRAMENTO COUNTY MENTAL HEALTH TREATMENT CENTER,SACRAMENTO,City/County,Psychiatric Health Facilities,0,50,38,50,12785760,0.0,12785760.0,0%,0%,"SACRAMENTO, California
(38.582087, -121.50012)",0
544,544,2011,106190066,BELLFLOWER MEDICAL CENTER,Los Angeles,Investor,Comparable,0,114,110,110,38858326,227688.0,39086014.0,0.6%,0.6%,"BELLFLOWER, California
(33.882076, -118.125256)",0
545,545,2010,106410782,SAN MATEO MEDICAL CENTER,SAN MATEO,City/County,Comparable,0,509,435,433,119260323,47921817.0,167182140.0,28.7%,40.2%,"SAN MATEO, California
(37.547166, -122.314351)",0
546,546,2010,106454012,NORTHERN CALIFORNIA REHABILITATION HOSPITAL,SHASTA,Investor,Comparable,0,88,88,78,37248493,139403.0,37387896.0,0.4%,0.4%,"REDDING, California
(40.574637, -122.38109)",0
547,547,2010,106190541,MONROVIA MEMORIAL HOSPITAL,LOS ANGELES,Investor,Comparable,0,49,46,46,28151831,0.0,28151831.0,0%,0%,"MONROVIA, California
(34.14591, -118.000929)",0
548,548,2010,106240942,MERCY MERCED MEDICAL CENTER-COMMUNITY CAMPUS,MERCED,Non-Profit,Comparable,0,174,158,138,215920826,1736007.0,217656833.0,0.8%,0.8%,"MERCED, California
(37.306968, -120.481971)",0
549,549,2010,106304426,ROYALE  MISSION VIEJO-PHF,ORANGE,Investor,Psychiatric Health Facilities,0,15,15,15,1298572,0.0,1298572.0,0%,0%,"MISSION VIEJO, California
(33.595018, -117.659099)",0
550,550,2011,106500967,OAK VALLEY DISTRICT HOSPITAL,Stanislaus,District,Comparable,0,150,150,141,49367780,644820.0,50012600.0,1.3%,1.3%,"OAKDALE, California
(37.76861, -120.849475)",1
551,551,2011,106160702,CORCORAN DISTRICT HOSPITAL,Kings,District,Comparable,0,32,32,6,10462916,51319.0,10514235.0,0.5%,0.5%,"CORCORAN, California
(36.098048, -119.559687)",1
552,552,2010,106100899,ST. AGNES MEDICAL CENTER,FRESNO,Non-Profit,Comparable,0,436,436,436,425916898,6722872.0,432639770.0,1.6%,1.6%,"FRESNO, California
(36.731654, -119.785856)",0
553,553,2011,106190163,AURORA CHARTER OAK,Los Angeles,Investor,Comparable,0,95,95,86,24931339,30080.0,24961419.0,0.1%,0.1%,"COVINA, California
(34.086248, -117.890145)",0
